shop_name,shop_id,lat,lng
"!Якутск Орджоникидзе, 56 фран",0,62.025097,129.72025
"!Якутск ТЦ ""Центральный"" фран",1,62.030693,129.7414
"Адыгея ТЦ ""Мега""",2,45.012745,38.930084
"Балашиха ТРК ""Октябрь-Киномир""",3,55.79779,37.938427
"Волжский ТЦ ""Волга Молл""",4,48.77198,44.80012
"Вологда ТРЦ ""Мармелад""",5,59.218067,39.897804
"Воронеж (Плехановская, 13)",6,51.663628,39.197273
"Воронеж ТРЦ ""Максимир""",7,51.696835,39.273075
"Воронеж ТРЦ Сити-Парк ""Град""",8,51.788815,39.2054
Выездная Торговля,9,,
Жуковский ул. Чкалова 39м?,10,55.59707,38.123646
Жуковский ул. Чкалова 39м²,11,55.59758,38.124504
Интернет-магазин ЧС,12,,
"Казань ТЦ ""Бехетле""",13,55.8503,48.895573
"Казань ТЦ ""ПаркХаус"" II",14,55.835255,49.103157
"Калуга ТРЦ ""XXI век""",15,54.516083,36.246662
"Коломна ТЦ ""Рио""",16,55.092564,38.77388
"Красноярск ТЦ ""Взлетка Плаза""",17,56.034466,92.90786
"Красноярск ТЦ ""Июнь""",18,56.03727,92.93466
"Курск ТЦ ""Пушкинский""",19,51.737953,36.192223
"Москва ""Распродажа""",20,55.70277,37.73604
"Москва МТРЦ ""Афи Молл""",21,55.749115,37.539528
Москва Магазин С21,22,55.755825,37.6173
"Москва ТК ""Буденовский"" (пав.А2)",23,55.75849,37.74103
"Москва ТК ""Буденовский"" (пав.К7)",24,55.75849,37.74103
"Москва ТРК ""Атриум""",25,55.757263,37.659008
"Москва ТЦ ""Ареал"" (Беляево)",26,55.643696,37.526344
"Москва ТЦ ""МЕГА Белая Дача II""",27,55.658314,37.845215
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,55.604233,37.491974
"Москва ТЦ ""Новый век"" (Новокосино)",29,55.737785,37.856853
"Москва ТЦ ""Перловский""",30,55.891895,37.727467
"Москва ТЦ ""Семеновский""",31,55.782692,37.72036
"Москва ТЦ ""Серебряный Дом""",32,55.78209,37.70418
"Мытищи ТРК ""XL-3""",33,55.89175,37.748745
"Н.Новгород ТРЦ ""РИО""",34,56.318214,43.925327
"Н.Новгород ТРЦ ""Фантастика""",35,56.30731,44.074863
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,55.043736,82.92267
"Новосибирск ТЦ ""Мега""",37,54.964245,82.936356
"Омск ТЦ ""Мега""",38,54.97196,73.28441
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,47.25971,39.720516
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,51.499012,31.289309
"РостовНаДону ТЦ ""Мега""",41,47.28998,39.847
"СПб ТК ""Невский Центр""",42,59.93171,30.359451
"СПб ТК ""Сенная""",43,59.925003,30.320606
"Самара ТЦ ""Мелодия""",44,53.208992,50.136993
"Самара ТЦ ""ПаркХаус""",45,53.23342,50.200714
"Сергиев Посад ТЦ ""7Я""",46,56.303814,38.13331
"Сургут ТРЦ ""Сити Молл""",47,61.23971,73.37385
"Томск ТРЦ ""Изумрудный Город""",48,56.488567,84.978516
"Тюмень ТРЦ ""Кристалл""",49,57.117477,65.54932
"Тюмень ТЦ ""Гудвин""",50,57.14884,65.560555
"Тюмень ТЦ ""Зеленый Берег""",51,57.169952,65.56746
"Уфа ТК ""Центральный""",52,54.73647,55.95618
"Уфа ТЦ ""Семья"" 2",53,54.74984,55.99935
"Химки ТЦ ""Мега""",54,55.91104,37.396564
Цифровой склад 1С-Онлайн,55,,
"Чехов ТРЦ ""Карнавал""",56,55.15342,37.459408
"Якутск Орджоникидзе, 56",57,62.025097,129.72025
"Якутск ТЦ ""Центральный""",58,62.030617,129.73456
"Ярославль ТЦ ""Альтаир""",59,57.69757,39.760273
